Key	de	fr	it	nl	ru
language_debug	German: äöüß / ÄÖÜ	French: éàèùâêîôûçëïü / ÉÀÈÙÂÊÎÔÛÇËÏÜ	Italian: àèéìòóù / ÀÈÉÌÒÓÙ	Dutch: áéíóúàèëïöüĳ / ÁÉÍÓÚÀÈËÏÖÜ	Russian: Б б Г г Д д Ё ё Ж ж П п Ф ф И и Й й З з Ч ч Л л Ц ц Ш ш Щ щ Э э Ю ю Я я В в Н н Р р С с У у Х х Ы ы Ь Ъ
language_german	Deutsch	Deutsch	Deutsch	Deutsch	Немецкий
language_french	Français	Français	Français	Français	Французский
language_italian	Italiano	Italiano	Italiano	Italiano	Итальянский
language_dutch	Nederlands	Nederlands	Nederlands	Nederlands	Голландский
language_russian	русский	русский	русский	русский	Русский
navigationbar_download	Audiodateien laden	Charger des fichiers audio	Scaricare i file audio	Audiobestanden downloaden	Загрузить аудиофайлы
navigationbar_catalog	Produktkatalog ansehen	Consulter le catalogue des produits	Consultare il catalogo prodotti	Productcatalogus bekijken	Посмотреть каталог товаров
navigationbar_audiobooks	Hörbücher und Lieder kaufen	Acheter des livres audio et des chansons	Acquistare audiolibri e canzoni	Luisterboeken en liedjes kopen	Купить аудиокниги и песни
navigationbar_settings	Stift und Inhalte verwalten	Administrer le lecteur et les contenus	Gestione di lettore e contenuti	Stift en inhoud beheren	Настройки
navigationbar_help	Hilfe und Informationen	Aide et informations	Guida e informazioni	Hulp en informatie	Помощь и информация
navigationbar_imprint	Impressum	Mentions légales	Avviso legale	Colofon	Контактная информация
navigationbar_privacy	Datenschutz	Protection des données	Protezione dei dati	Privacybescherming	Защита данных
header_penstate_default_pen_title	Ihr Stift	Votre lecteur	Il vostro lettore	Uw stift	Ваша ручка
header_penstate_connected	verbunden	connecté	collegato	verbonden	Подключено
header_penstate_disconnected	nicht verbunden	non connecté	non collegato	niet verbonden	Не подключено
header_penstate_free_space	{0} GB frei	{0} Go de libres	{0} GB disponibili	{0} GB vrij	{0} свободных ГБ
